Comment,Compound,Positive,Neutral,Negative
"Just looked up Airbnb prices in NYC for shits and giggles, places that were going for like $3,800/month going for $1,200 now lmao. I hope nobody books again and y’all have to give up all 8 of your fucking empty rentals to people that actually live in the city ",0.7102,0.194,0.716,0.091
ALERT: Hey @fordnation. Have heard some rumours of @Airbnb rentals during the pendemic. Especially in #NiagaraFalls having a few parties with I am sure young adults. This is not helping the situation. All @airbnb should be cancelled for the safety of our communities! #StayAtHome,0.7985,0.217,0.707,0.076
"Airbnb must be a goldmine for finding vacant housing, huh?",0.0,0.0,1.0,0.0
People in rural upstate NY communities like mine who refuse to remove their Airbnb and vacation rental adds are going to get us all killed.,-0.6369,0.08,0.705,0.215
Airbnb stressing me out. LIAT stressing me out. I just want my money back ,-0.5719,0.08,0.613,0.307
All the pros and cons of staying in an #Airbnb! https://buff.ly/2x62wMo #travel #traveltips #travelbloggers #tbloggers @BBlogRT #bloggerstribe,0.0,0.0,1.0,0.0
Should I get a tree house Airbnb for the rest of quarantine? Yes or no,0.128,0.17,0.692,0.138
"Dude, devastated without your talkshow and listen to ur podcast. So sad 4 u. Prior to virus, I lost my job, career.. living Airbnb boarding house so know pain the pain. WTH happened to your producer Chris? Is it wrong I miss how hilarious u too were? #comedy",-0.9748,0.042,0.544,0.414
Here is a look at the potential monthly impact on revenue for vacation rental companies as travel disruption continues. @Airbnb @vrbo @vrma #savethesummer,-0.3612,0.0,0.894,0.106
I've never understood the Hotel industry not making more of a ruckus over the AirBnB tourist biz.,0.0,0.0,1.0,0.0
We just cancelled our Airbnb for our Italy trip in May. I saw a picture of Cinque terre on Pinterest today and started crying. I hope you can still go!,-0.3595,0.09,0.743,0.167
day 15(?) of quarantine: just smiled to myself cuz i remembered i got an amazing review from my airbnb host when i went to vancouver last august,0.8074,0.249,0.751,0.0
"I guarantee you that all these people complaining about landlords this and that, would be the first to buy a house, and rent it out as an AirBnB. This causes a bigger problem, which people from underrepresented backgrounds become ejected from their neighborhoods, gentrification",-0.3612,0.045,0.854,0.101
Meee! I dreamt that my friends and I rented out an airbnb in the woods and someone committed murder everything felt sooo real ,-0.2003,0.195,0.638,0.167
Agreed but are least we know it's a hotel An Airbnb was SUPPOSED to be a homeowner renting out a room How did that turn out,0.1406,0.066,0.934,0.0
Someone I know is at like an Airbnb house party this weekend like.....STAY TF HOME,0.6369,0.302,0.698,0.0
5/6 Google Trend Search: -Grill sales -Home improvement -Hydroponic light sales -Parking lot repair -AirBnb rentals,0.4588,0.167,0.833,0.0
"Yall still have Airbnb’s, game nights, birthday parties like can yall stoppppppp",0.6369,0.342,0.658,0.0
Oh. Our HOA banned Airbnb and the sort. Lol,-0.0516,0.219,0.547,0.234
I hate Airbnb and it's derivatives.,-0.5719,0.0,0.519,0.481
do airbnb owners not realize they can take on a long-term tenant or do they just love saying wHaT aBoUt My MoRtGaGe,0.6369,0.174,0.826,0.0
Just officially canceled my AirBnB reservation in May. Thankfully my host isn't a huge dick,0.5484,0.298,0.596,0.106
"A year ago, I was already at my AirBnB in Rome, living my best life with my friends. I miss @LenaeSmiles ",0.7717,0.305,0.628,0.067
never thought about it but those guys must be going through an airbnb-level business apocalypse right now,0.0,0.0,1.0,0.0
Brothers lo más justo sería que le quitara lo sueldo a eso Futbolistas y beisbolista de mierda y se lo dieran a los grande héroe,0.0,0.0,1.0,0.0
Благо нынче времени дохрена свободного из-за изоляции и активность в соц сетях растёт из-за этого ,0.0,0.0,1.0,0.0
"...ну что же, тогда я активирую план, созревший у меня в голове, по развязываний полномасштабной войны против них в соц.сетях, хех. Я ступила и не додумалась до этого однажды. Ну окей, в этот раз тормозить не буду уже и сделаю всё.",0.0,0.0,1.0,0.0
"Wie schön, wenn man im Luxus des Kapitalismus gegen diesen hetzen kann.",0.0,0.0,1.0,0.0
Two vacant rental buildings? How are there vacant rental buildings in Toronto? Is this because of Airbnb ghost hotel delistings?,-0.4291,0.0,0.87,0.13
Airbnb hosts are adapting from short to long-term letting. ,0.0,0.0,1.0,0.0
